id,start,end,category,sub_category,summary,transcript
1,"00:11:12,245","00:11:21,225",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,"The first click,"
2,"00:11:28,320","00:11:35,700",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,I think I'm actually in though. Can I? Feels good. Perfect. Yeah. Okay.
3,"00:11:43,170","00:13:06,569",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"What you wanna put a little more, make sure it drops. Yeah. Nice. Okay. We'll take gas on please. Yes. Low. Okay. Opening pressure six. Perfect. We can go. Well, we're already on high flow. We can get high flow or three. I mean, even though the vari doesn't do anything limited by our instrument, we are insufflating. Okay. Let's white balance our little guy. Wait, what'd you say? Oh, it's in the white balance Fail. Usually you can white balance. Are you where all the monitors are? Yeah. Yeah, because I've got one right there. Leah. Is our light on? So our camera on? Is it on? Nope. Nope. Can we get the, um, the light on looking at you? I think right here you see where you can turn the light on. Go down. I see. And click your first one. Oh. There isn't it? Beautiful Turn back. You can do that too."
4,"00:13:20,925","00:13:26,665",1 Instruction,1.4 Point to errors / task,They confirm that the current action or position looks correct.,Thanks. Okay. I hate pressing all those damn buttons. I just don't know why they just themselves over there. Okay.
5,"00:13:28,405","00:13:34,110",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,God damn. So annoying. Thanks. So
6,"00:13:37,530","00:13:37,650",1 Instruction,1.1 Assessment,They transition to the next step of the operation.,now
7,"00:13:39,810","00:13:40,770",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,big stick back there.
8,"00:13:42,540","00:13:48,959",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,"Rock. Okay. Just want somebody to just get it off this. There we go. Okay, here we go."
9,"00:13:51,390","00:13:57,380",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"No, totally small things. There is. Yeah. I just find that camera navigation system annoying."
10,"00:13:58,850","00:13:59,360",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,Okay.
11,"00:14:00,650","00:14:07,555",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Almost there. One more. I'll take the Optive view. Yeah, she's up to 15, 14. Thank you."
12,"00:14:12,140","00:14:51,535",1 Instruction,2.3 Alternative strategy,They confirm that the current action or position looks correct.,"He likes it. How does he like it again? No, I mean, just where he likes the, to see everything. See if that's okay. Take this out here. Yeah. Okay."
13,"00:14:54,314","00:14:55,725",1 Instruction,1.1 Assessment,They transition to the next step of the operation.,Let him know if you need that down or anything.
14,"00:14:56,985","00:14:59,625",1 Instruction,1.1 Assessment,They discuss adjusting the camera or view for better visualization.,"Or if you're good, you may need to focus a hair."
15,"00:15:04,185","00:15:40,005",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,Yeah. Nice. Yeah. Lots of twisting. Nice. Okay. All right. Nice. You can drop your angle. Yeah. Perfect. Okay.
16,"00:15:45,819","00:15:46,310",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,Real quick.
17,"00:15:47,620","00:15:52,390",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,Open up. Perfect. All right. Let's take a little pickaroo peek.
18,"00:15:55,480","00:15:59,360",2 Management,2.2 Task assignment,They transition to the next step of the operation.,"Actually clean this and then I'll take this, please. Mm-hmm. Thank you"
19,"00:16:06,580","00:16:07,200",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,two. Thank you.
20,"00:16:14,595","00:16:33,855",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Alright. And just look straight down, check everything, make sure no injury. Nice. We didn't insulate any momentum. Beautiful. Yeah. Check everything. I love it. Okay."
21,"00:16:39,265","00:16:40,300",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,Or traits with the
22,"00:16:41,890","00:16:44,560",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Yeah, it's fine. Okay. All right."
23,"00:16:44,710","00:16:52,090",1 Instruction,1.1 Assessment,They point out a possible issue or give a corrective instruction.,"Given her, I was gonna do, um, super umbilical for our next port. This will be another five."
24,"00:16:59,464","00:17:02,074",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,"Okay, this. Thank you."
25,"00:17:07,575","00:17:08,450",1 Instruction,1.1 Assessment,They point out a possible issue or give a corrective instruction.,Not like a 15.
26,"00:17:11,744","00:17:20,540",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,"Okay. A little bit bigger, the elevens. It's okay. Do you want an elevens? No. Totally fine. Alrighty."
