starttime,Summary,Instruction Mode,Importance,Review,Comments
22:09:05,"Lift the gallbladder wall to create a knuckle and approach across, not into, the tissue. Keep instrument angled upward to avoid perforation; adjust port angle based on gallbladder height and anatomy.",Next Step Plan,,,
22:58:01,Placing the port too low flattens the approach and worsens control; position the port higher for a better upward angle.,Action Guidance,,,
25:04.5,Lower arm when handling the tool.,Action Guidance,,,
27:32.1,Lift gallbladder up.,Action Guidance,,,
27:51.6,Avoid grabbing fat.,Action Guidance,,,
27:57.6,Avoid putting instrument tips into the middle of the gallbladder.,Action Guidance,,,
29:19.5,Gentle sweep to clean fat.,Action Guidance,,,
30:48.8,"When lifting the gallbladder, grasp close to the dissection plane; pulling from too far away tears fatty tissue, causing bleeding and poor visibility.",Action Guidance,,,
31:49.5,"Take a small, accurate grasp on the true edge of the plane ('lip'), not surrounding fat; use both hands to apply opposing tension.",Action Guidance,,,
32:35.1,Hook then pull to left to dissect.,Action Guidance,,,
35:38.7,Regrab the fat to create a better angle.,Action Guidance,5,Good,
35:52.6,Grab closer to the target.,Action Guidance,,,
36:41.9,Fan the fat laterally for a better view of the hole.,Action Guidance,,,
37:00.0,The shape and color of gallbladder show chronic inflammation.,Anatomy Recognition,,,
38:39.1,Grab closer.,Action Guidance,,,
39:03.1,The lip is fat and can be grabbed.,Anatomy Recognition,,,
39:16.7,How to coordinate two hands.,Hand Coordination,3,Good,
40:37.6,Rotate camera so that instruments are not blocking the view.,Camera and View,,,
41:25.1,Lifting the gallbladder too hard collapses the plane; ease off tension so tissue unfolds naturally.,Action Guidance,,,
41:42.5,"If you can't see a structure clearly, stop dissecting. Three options: adjust camera/retraction, push other structures away, or move the tissue.",Next Step Plan,,,
44:13.9,Leah suggests the next step.,Next Step Plan,,,
44:35.3,Leah pointed out the left hand is not doing well.,Hand Coordination,6,Bad,
44:45.8,Open the graspers more to grab more gallbladder.,Action Guidance,,,
45:08.7,"Open grasper more, push in, grab, and lift to create better view.",Action Guidance,7,Bad,
47:00.4,"A stable, slightly oblique camera angle gives better 3D cues. Avoid steep downward views that distort relationships in Calot's triangle. Camera and instrument angles should complement each other.",Camera and View,,,
47:49.8,Move away liver for better view.,Camera and View,,,
48:00.3,Analyzing the anatomy.,Anatomy Recognition,,,
48:23.4,Grab the gallbladder and look at what is behind.,Camera and View,,,
48:30.0,"The surgeon can't fully see the anatomy, so they reason where it should be and start with a shallow, safe incision in the visible area to expose the plane gradually.",Anatomy Recognition,,,
48:49.0,Senior surgeons discuss which plane to start dissecting.,Next Step Plan,,Unknown,
49:20.8,Two options for dissection: thinning or layer by layer.,Next Step Plan,5,Good,
51:10.1,Actions.,Action Guidance,,,
51:22.5,Hook cautery technique: gentle sweeping to separate tissue and skeletonize duct or artery.,Action Guidance,,,
52:19.7,Slow down and read anatomy carefully. Dissect along visible gallbladder edge in known safe zone.,Anatomy Recognition,,,
53:01.5,What looks like a nerve is likely connective tissue. Stay shallow and dissect along peritoneum.,Anatomy Recognition,3,Good,
53:24.2,Need to angle the tool up.,Action Guidance,,,
53:49.0,Push in to make dissection.,Action Guidance,5,Good,
53:58.4,Sweep to rip.,Action Guidance,,,
56:12.2,Push gently to open plane and continue freeing tissue toward target base.,Action Guidance,,,
56:35.7,Anatomy recognition: beyond it lies liver.,Anatomy Recognition,,,
57:54.7,Push in.,Action Guidance,1,Bad,
58:15.4,Push in then turn.,Action Guidance,,,
59:51.9,Hook near gallbladder-liver interface can catch wrong structure; stay in correct plane.,Anatomy Recognition,,,
01:00:17.7,Use camera to visualize how left-hand instrument shapes field; pulling creates dissection space.,Camera and View,,,
01:00:39.9,Regrab at lower place.,Action Guidance,5,Good,
01:00:54.4,Recognizing artery.,Anatomy Recognition,,,
01:01:13.0,Recognize when left-hand tool obstructs view or movement; adjust to avoid stressing liver.,Hand Coordination,,,
01:01:44.8,Hook heel.,Action Guidance,,,
01:01:55.7,"No dig, stay on surface.",Action Guidance,5,Good,
01:02:45.8,Coordinate between two hands.,Hand Coordination,3,Good,
01:03:19.3,"When tissue is translucent and converges like a faucet, it’s a safe zone—sweep to expose base.",Anatomy Recognition,,,
01:04:51.9,"Too deep now, don’t go up.",Action Guidance,,,
01:05:11.3,"If dissecting near vessel, don't cross halfway or pull too hard while cauterizing.",Anatomy Recognition,,,
01:06:22.6,Avoid energy activation while touching gallbladder; avoid excessive traction to let small vessels coagulate.,Anatomy Recognition,,,
01:06:33.9,Gentle sweeping.,Action Guidance,,,
01:07:34.4,Recognize a true dissection plane.,Anatomy Recognition,7,Good,
01:08:57.1,Keep dissecting with Marilyn.,Action Guidance,6,Good,
01:09:13.4,Spread tension to avoid bleeding.,Action Guidance,,,
01:09:27.2,Take peritoneal tissue off.,Action Guidance,,,
01:10:39.0,"When peritoneum is tented by a band, an artery lies beneath; peel gently to expose safely.",Anatomy Recognition,,,
01:11:43.3,Grab fat to skeletonize the ductal structures.,Action Guidance,,,
01:12:19.8,Use the 'roll' grasping technique.,Action Guidance,,,
01:17:07.9,Touch the structure to figure out what it is.,Anatomy Recognition,,,
01:17:55.0,Safe exploration and spatial judgment.,Action Guidance,,,
01:18:37.9,The white tissue is the safe spot for dissection.,Anatomy Recognition,,,
01:18:59.0,Touch and confirm nothing is there; continue pushing the dissector to make the dissection.,Action Guidance,,,
01:19:58.5,Push harder.,Action Guidance,,,
01:21:42.8,Big sweep at the clip site.,Action Guidance,,,
01:22:09.0,Fat down; duct coming into view.,Anatomy Recognition,,,
01:22:19.0,Next move: keep cleaning fat.,Next Step Plan,,,
01:22:37.8,Resident dissected at the wrong place.,Action Guidance,9,Bad,
01:22:57.2,Get more tissue and be more aggressive.,Action Guidance,,,
01:23:50.9,Risk in proceeding because the structure is not clear.,Anatomy Recognition,,,
01:24:41.0,Duct shape is clear; clean the surrounding fat.,Anatomy Recognition,,,
01:24:47.6,Dissection based on recognizing the artery—keep that in mind.,Anatomy Recognition,,,
01:25:33.7,Switch to skeletonize the artery.,Next Step Plan,,,
01:25:56.0,Rotate tool slightly downward so both jaws/tips contact tissue for friction and effective dissection.,Action Guidance,,,
01:26:39.6,Bleeding noted; cause uncertain.,Bleeding Handling,,,
01:27:03.9,Anatomy is confusing—recognizing base vs. gallbladder.,Anatomy Recognition,,,
01:27:32.7,Dissect at a higher position.,Action Guidance,,,
01:28:41.0,Brian suggests going up.,Action Guidance,,,
01:30:11.7,Brian suggests skeletonizing the duct next.,Next Step Plan,,,
01:32:16.6,Two holes in the fat; start with the upper one.,Anatomy Recognition,,,
01:32:51.8,"Sequence: push in, rotate, sweep.",Action Guidance,4,Good,
01:33:21.9,Be careful—there might be something in the fat.,Anatomy Recognition,,,
01:33:31.5,They decide there is nothing in the fat.,Anatomy Recognition,7,Good,
01:35:20.5,Predict hepatic arteries are behind.,Anatomy Recognition,,,
01:35:39.6,Ask Leah to take off the node.,Bleeding Handling,,Bad,
01:35:52.3,Artery is done.,Anatomy Recognition,,,
01:38:14.6,"The node was vascular, causing bleeding.",Bleeding Handling,10,Bad,
01:38:58.0,Spread on both sides of the cystic artery with Maryland; fully expose its length to confirm you're not at the base.,Anatomy Recognition,10,Bad,
01:41:43.1,Keep instrument perpendicular to vessel/duct axis; rotate or curl to match orientation.,Action Guidance,,,
01:43:35.6,Adjust left hand.,Hand Coordination,,,
01:45:26.1,See the next dissection goal.,Next Step Plan,6,Good,
01:45:56.7,Recognize hidden artery.,Anatomy Recognition,,,
01:48:44.5,Make an anatomy guess.,Anatomy Recognition,,,
01:49:40.0,Might be bleeding based on experience.,Bleeding Handling,,,
01:49:55.8,Good camera driving,Camera and View,5,Good,
01:50:39.8,Unknown band appears; work below it.,Anatomy Recognition,,,
01:51:21.7,Ripping may cause bleeding.,Bleeding Handling,,,
01:51:51.6,"If structure unknown, pull with tool to check.",Anatomy Recognition,,,
01:52:38.3,"For unknown structures, grab gently.",Anatomy Recognition,,,
01:54:47.2,Anatomy is confusing—nothing or vessel?,Anatomy Recognition,,,
01:55:12.2,Clean fat around the unknown structure first.,Action Guidance,4,Good,
01:55:44.8,Structure now feels pulsing.,Anatomy Recognition,,,
01:58:29.2,Hands are too high.,Hand Coordination,4,Bad,
01:58:58.5,Brian takes over; starts with easier structures.,Anatomy Recognition,,,
02:01:27.5,"After dissecting the back of the gallbladder, unknown structure seen connected to gallbladder.",Anatomy Recognition,,,
02:02:31.4,Slide down clips when applying.,Action Guidance,,,
02:02:49.2,Move clips up and visualize clip tips.,Action Guidance,,,
02:08:21.9,"If a clip is misoriented, remove and reload it.",Action Guidance,,,
02:09:35.1,"A 30° instrument rotation changes the approach angle by ~60°, misaligning the clip.",Action Guidance,,,
02:11:51.4,"When the cystic duct is short, avoid dissecting too much to lengthen it; instead, clip slightly higher for a secure seal.",Anatomy Recognition,,,
02:17:10.4,"Keep tool parallel, let heel glide off tissue, and use minimal pressure for precise, safe dissection.",Action Guidance,8,Bad,
02:18:15.6,"Surgeon releases traction before applying energy to avoid tearing; cauterizes small vessel carefully, anticipating tension change to maintain control.",Action Guidance,,,
02:26:24.8,Checks that the sealed stump is secure and dry before removing ports.,Action Guidance,,,
02:26:48.2,Checks for bleeding by moving the camera back and forth.,Bleeding Handling,,,
02:26:56.2,Withdraws scope to inspect each port site; instruments removed in sequence.,Action Guidance,,,
