start,end
00:27:16,00:27:19
00:29:18,00:29:21
00:31:20,00:31:23
00:33:21,00:33:24
00:35:23,00:35:26
00:37:25,00:37:28
00:39:27,00:39:30
00:41:28,00:41:31
00:43:30,00:43:33
00:45:32,00:45:35
00:47:34,00:47:37
00:49:35,00:49:38
00:51:37,00:51:40
00:53:39,00:53:42
00:55:41,00:55:44
00:57:42,00:57:45
00:59:44,00:59:47
01:01:46,01:01:49
01:03:48,01:03:51
01:05:49,01:05:52
01:07:51,01:07:54
01:09:53,01:09:56
01:11:55,01:11:58
01:13:56,01:13:59
01:15:58,01:16:01
01:18:00,01:18:03
01:20:02,01:20:05
01:22:03,01:22:06
01:24:05,01:24:08
01:26:07,01:26:10
01:28:09,01:28:12
01:30:10,01:30:13
01:32:12,01:32:15
01:34:14,01:34:17
01:36:16,01:36:19
01:38:18,01:38:21
01:40:19,01:40:22
01:42:21,01:42:24
01:44:23,01:44:26
01:46:25,01:46:28
01:48:26,01:48:29
01:50:28,01:50:31
01:52:30,01:52:33
01:54:32,01:54:35
01:56:33,01:56:36
01:58:35,01:58:38
02:00:37,02:00:40
02:02:39,02:02:42
02:04:40,02:04:43
02:06:42,02:06:45
02:08:44,02:08:47
02:10:46,02:10:49
02:12:47,02:12:50
02:14:49,02:14:52
02:16:51,02:16:54
02:18:53,02:18:56
02:20:55,02:20:58
02:22:56,02:22:59
02:24:58,02:25:01
02:27:02,02:27:05
